source_lemma,corrected_lemma,description
ini,ina,"data-driven from train splits (n=12, agreement=100%), manually reviewed"
štiti,štititi,"data-driven from train splits (n=12, agreement=100%), manually reviewed"
tarifan,tarifni,"data-driven from train splits (n=12, agreement=100%), manually reviewed"
hahaha,haha,"data-driven from train splits (n=11, agreement=100%), manually reviewed"
kiso,kiša,"data-driven from train splits (n=11, agreement=100%), manually reviewed"
ajde,hajde,"data-driven from train splits (n=11, agreement=100%), manually reviewed"
ces,hteti,"data-driven from train splits (n=10, agreement=100%), manually reviewed"
nadj,naći,"data-driven from train splits (n=10, agreement=100%), manually reviewed"
orentacija,orijentacija,"data-driven from train splits (n=10, agreement=90%), manually reviewed"
prioritetni,prioritetan,"data-driven from train splits (n=10, agreement=100%), manually reviewed"
cene,cena,"data-driven from train splits (n=10, agreement=100%), manually reviewed"
fronta,front,"data-driven from train splits (n=10, agreement=100%), manually reviewed"
dozvoljeno,dozvoliti,"data-driven from train splits (n=10, agreement=100%), manually reviewed"
prethodni,prethodan,"data-driven from train splits (n=10, agreement=100%), manually reviewed"
premerka,premijerka,"data-driven from train splits (n=9, agreement=100%), manually reviewed"
noci,noć,"data-driven from train splits (n=9, agreement=100%), manually reviewed"
skol,škola,"data-driven from train splits (n=9, agreement=100%), manually reviewed"
doci,doći,"data-driven from train splits (n=9, agreement=100%), manually reviewed"
privatni,privatan,"data-driven from train splits (n=9, agreement=100%), manually reviewed"
unesti,uneti,"data-driven from train splits (n=9, agreement=100%), manually reviewed"
trac,traka,"data-driven from train splits (n=8, agreement=100%), manually reviewed"
nadgledi,nadgledati,"data-driven from train splits (n=8, agreement=100%), manually reviewed"
proseka,prosek,"data-driven from train splits (n=8, agreement=100%), manually reviewed"
fax,faks,"data-driven from train splits (n=8, agreement=100%), manually reviewed"
navedeno,navesti,"data-driven from train splits (n=8, agreement=100%), manually reviewed"
početni,početan,"data-driven from train splits (n=8, agreement=100%), manually reviewed"
rotar,rotaru,"data-driven from train splits (n=8, agreement=100%), manually reviewed"
strani,stran,"data-driven from train splits (n=8, agreement=100%), manually reviewed"
nozi,noga,"data-driven from train splits (n=8, agreement=100%), manually reviewed"
baćo,baća,"data-driven from train splits (n=8, agreement=100%), manually reviewed"
banje,banja,"data-driven from train splits (n=7, agreement=100%), manually reviewed"
sejdi,sejdiju,"data-driven from train splits (n=7, agreement=100%), manually reviewed"
troškovan,troškovni,"data-driven from train splits (n=7, agreement=100%), manually reviewed"
avgusta,avgust,"data-driven from train splits (n=7, agreement=100%), manually reviewed"
životni,životan,"data-driven from train splits (n=7, agreement=100%), manually reviewed"
dotaći,dotaknuti,"data-driven from train splits (n=7, agreement=100%), manually reviewed"
prole,prol,"data-driven from train splits (n=7, agreement=100%), manually reviewed"
flaš,flaša,"data-driven from train splits (n=6, agreement=100%), manually reviewed"
klinc,klinac,"data-driven from train splits (n=6, agreement=100%), manually reviewed"
zele,želeti,"data-driven from train splits (n=6, agreement=100%), manually reviewed"
zenski,ženski,"data-driven from train splits (n=6, agreement=100%), manually reviewed"
skole,škola,"data-driven from train splits (n=6, agreement=100%), manually reviewed"
naglašeno,naglasiti,"data-driven from train splits (n=6, agreement=100%), manually reviewed"
stadeti,stati,"data-driven from train splits (n=6, agreement=100%), manually reviewed"
lampe,lampa,"data-driven from train splits (n=6, agreement=100%), manually reviewed"
kamatan,kamatni,"data-driven from train splits (n=5, agreement=100%), manually reviewed"
onolik,onoliki,"data-driven from train splits (n=5, agreement=100%), manually reviewed"
davan,davni,"data-driven from train splits (n=5, agreement=100%), manually reviewed"
moras,morati,"data-driven from train splits (n=5, agreement=100%), manually reviewed"
cek,čekati,"data-driven from train splits (n=5, agreement=100%), manually reviewed"
pustati,puštati,"data-driven from train splits (n=5, agreement=100%), manually reviewed"
mack,mačka,"data-driven from train splits (n=5, agreement=100%), manually reviewed"
cuja,čuti,"data-driven from train splits (n=5, agreement=100%), manually reviewed"
prostoran,prostorni,"data-driven from train splits (n=5, agreement=100%), manually reviewed"
toka,tok,"data-driven from train splits (n=5, agreement=100%), manually reviewed"
sadržano,sadržati,"data-driven from train splits (n=5, agreement=100%), manually reviewed"
međukulturni,međukulturan,"data-driven from train splits (n=5, agreement=100%), manually reviewed"
slevati,sleva,"data-driven from train splits (n=4, agreement=100%), manually reviewed"
haraći,haraćija,"data-driven from train splits (n=4, agreement=100%), manually reviewed"
tesko,teško,"data-driven from train splits (n=4, agreement=100%), manually reviewed"
zela,želeti,"data-driven from train splits (n=4, agreement=100%), manually reviewed"
dusan,dušan,"data-driven from train splits (n=4, agreement=100%), manually reviewed"
solje,šolja,"data-driven from train splits (n=4, agreement=100%), manually reviewed"
taka,takav,"data-driven from train splits (n=4, agreement=100%), manually reviewed"
podrazumevajući,podrazumevati,"data-driven from train splits (n=4, agreement=100%), manually reviewed"
transnacionalan,transnacionalni,"data-driven from train splits (n=4, agreement=100%), manually reviewed"
objavljeno,objaviti,"data-driven from train splits (n=4, agreement=100%), manually reviewed"
trći,trgnuti,"data-driven from train splits (n=4, agreement=100%), manually reviewed"
kolektivni,kolektivan,"data-driven from train splits (n=4, agreement=100%), manually reviewed"
pomaći,pomaknuti,"data-driven from train splits (n=4, agreement=100%), manually reviewed"
polazan,polazni,"data-driven from train splits (n=4, agreement=100%), manually reviewed"
kadrov,kadar,"data-driven from train splits (n=4, agreement=100%), manually reviewed"
četvero,četvoro,"data-driven from train splits (n=4, agreement=100%), manually reviewed"
mentalni,mentalan,"data-driven from train splits (n=4, agreement=100%), manually reviewed"
rubalj,rublje,"data-driven from train splits (n=4, agreement=100%), manually reviewed"
paol,paolo,"data-driven from train splits (n=3, agreement=100%), manually reviewed"
deči,dečiji,"data-driven from train splits (n=3, agreement=100%), manually reviewed"
preselenje,preseljenje,"data-driven from train splits (n=3, agreement=100%), manually reviewed"
izraženiji,izražen,"data-driven from train splits (n=3, agreement=100%), manually reviewed"
zaledeti,zalediti,"data-driven from train splits (n=3, agreement=100%), manually reviewed"
cina,činiti,"data-driven from train splits (n=3, agreement=100%), manually reviewed"
dinkica,dinkić,"data-driven from train splits (n=3, agreement=100%), manually reviewed"
salja,slati,"data-driven from train splits (n=3, agreement=100%), manually reviewed"
culi,čuti,"data-driven from train splits (n=3, agreement=100%), manually reviewed"
tudja,tuđ,"data-driven from train splits (n=3, agreement=100%), manually reviewed"
veronauk,veronauka,"data-driven from train splits (n=3, agreement=100%), manually reviewed"
saban,šaban,"data-driven from train splits (n=3, agreement=100%), manually reviewed"
cita,čitati,"data-driven from train splits (n=3, agreement=100%), manually reviewed"
sansa,šansa,"data-driven from train splits (n=3, agreement=100%), manually reviewed"
milos,miloš,"data-driven from train splits (n=3, agreement=100%), manually reviewed"
hut,huti,"data-driven from train splits (n=3, agreement=100%), manually reviewed"
cipov,čip,"data-driven from train splits (n=3, agreement=100%), manually reviewed"
zasnovano,zasnovati,"data-driven from train splits (n=3, agreement=100%), manually reviewed"
ograničavajući,ograničavati,"data-driven from train splits (n=3, agreement=100%), manually reviewed"
belic,belica,"data-driven from train splits (n=3, agreement=100%), manually reviewed"
opovrći,opovrgnuti,"data-driven from train splits (n=3, agreement=100%), manually reviewed"
uvet,uvo,"data-driven from train splits (n=3, agreement=100%), manually reviewed"
ćuteći,ćutati,"data-driven from train splits (n=3, agreement=100%), manually reviewed"
izvršni,izvršan,"data-driven from train splits (n=3, agreement=100%), manually reviewed"
podleći,podlegnuti,"data-driven from train splits (n=3, agreement=100%), manually reviewed"
proglašeno,proglasiti,"data-driven from train splits (n=3, agreement=100%), manually reviewed"
stažist,stažista,"data-driven from train splits (n=3, agreement=100%), manually reviewed"
postavljeno,postaviti,"data-driven from train splits (n=3, agreement=100%), manually reviewed"
temama,tema,"data-driven from train splits (n=3, agreement=100%), manually reviewed"
čeličan,čelični,"data-driven from train splits (n=3, agreement=100%), manually reviewed"
srednjoročni,srednjoročan,"data-driven from train splits (n=3, agreement=100%), manually reviewed"
prvostepen,prvostepeni,"data-driven from train splits (n=3, agreement=100%), manually reviewed"
